0:0:0:0:0:0:0:1 - - [13/May/2020:15:27:56 +0900] "GET /bigdata/mvcboard/view.do?idx=5 HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [13/May/2020:15:27:59 +0900] "GET /bigdata/mvcboard/update.do?idx=5 HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [13/May/2020:15:28:00 +0900] "GET /bigdata/css/update.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:28:00 +0900] "GET /bigdata/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:28:12 +0900] "POST /bigdata/mvcboard/updateOk.do HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [13/May/2020:15:28:16 +0900] "GET /bigdata/mvcboard/view.do?idx=5 HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [13/May/2020:15:28:20 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [13/May/2020:15:28:23 +0900] "GET /bigdata/mvcboard/view.do?idx=5 HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [13/May/2020:15:28:25 +0900] "GET /bigdata/mvcboard/delete.do?idx=5 HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [13/May/2020:15:28:25 +0900] "GET /bigdata/css/delete.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:28:31 +0900] "POST /bigdata/mvcboard/deleteOk.do HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [13/May/2020:15:28:32 +0900] "GET /bigdata/index.do HTTP/1.1" 200 3325
0:0:0:0:0:0:0:1 - - [13/May/2020:15:36:03 +0900] "GET /bigdata/mvcboard/write.do HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [13/May/2020:15:36:04 +0900] "GET /bigdata/css/write.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:36:07 +0900] "GET /bigdata/mvcboard/view.do?idx=6 HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [13/May/2020:15:36:08 +0900] "GET /bigdata/mvcboard/reply.do?idx=6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:37:26 +0900] "GET /bigdata/mvcboard/reply.do?idx=6 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/May/2020:15:37:39 +0900] "GET /bigdata/mvcboard/reply.do?idx=6 HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [13/May/2020:15:37:39 +0900] "GET /bigdata/css/reply.css HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [13/May/2020:15:40:42 +0900] "POST /bigdata/board/replyOk.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [13/May/2020:15:40:44 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2524
0:0:0:0:0:0:0:1 - - [13/May/2020:15:40:59 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2524
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:02 +0900] "POST /bigdata/board/replyOk.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [13/May/2020:15:41:04 +0900] "GET /bigdata/board/list.jsp HTTP/1.1" 500 2524
